species,locus_id,had_start,had_stop,start_fix,stop_fix,now_start,now_stop,internal_stops,cds_len
Elgaria_multicarinata,Elgaria_multicarinata_copy1,Y,N,no,+3bp,Y,Y,0,1608
Eublepharis_macularius,Eublepharis_macularius_copy1,Y,N,no,+9bp,Y,Y,0,1770
Furcifer_pardalis,Furcifer_pardalis_copy1,Y,N,no,+3bp,Y,Y,0,1710
Gambelia_wislizenii,Gambelia_wislizenii_copy1,Y,Y,no,no,Y,Y,0,1776
Gekko_japonicus,Gekko_japonicus_copy1,Y,Y,no,no,Y,Y,0,1749
Gekko_kuhli,Gekko_kuhli_copy1,Y,N,no,+6bp,Y,Y,0,1752
Hemicordylus_capensis,Hemicordylus_capensis_copy1,Y,Y,no,no,Y,Y,0,1785
Hemorrhois_hippocrepis,Hemorrhois_hippocrepis_copy1,Y,Y,no,no,Y,Y,0,1752
Hemorrhois_hippocrepis,Hemorrhois_hippocrepis_copy2,Y,Y,no,no,Y,Y,0,1752
Hemorrhois_hippocrepis,Hemorrhois_hippocrepis_copy3,Y,Y,no,no,Y,Y,0,1752
Hydrophis_cyanocinctus,Hydrophis_cyanocinctus_copy1,Y,Y,no,no,Y,Y,0,1752
Hydrophis_cyanocinctus,Hydrophis_cyanocinctus_copy2,Y,Y,no,no,Y,Y,0,1752
Hydrophis_major,Hydrophis_major_copy1,Y,Y,no,no,Y,Y,0,1752
Hydrophis_major,Hydrophis_major_copy2,Y,Y,no,no,Y,Y,0,1752
Lacerta_agilis,Lacerta_agilis_copy1,Y,Y,no,no,Y,Y,0,1770
Laticauda_colubrina,Laticauda_colubrina_copy1,Y,Y,no,no,Y,Y,0,1752
Laticauda_colubrina,Laticauda_colubrina_copy2,Y,Y,no,no,Y,Y,0,1752
Laudakia_wui,Laudakia_wui_copy1,Y,N,no,+3bp,Y,Y,1,1713
Liasis_olivaceus,Liasis_olivaceus_copy1,Y,Y,no,no,Y,Y,0,1749
Malpolon_monspessulanus,Malpolon_monspessulanus_copy1,Y,Y,no,no,Y,Y,0,1752
Malpolon_monspessulanus,Malpolon_monspessulanus_copy2,Y,Y,no,no,Y,Y,0,1752
Masticophis_lateralis,Masticophis_lateralis_copy1,Y,Y,no,no,Y,Y,0,1743
Masticophis_lateralis,Masticophis_lateralis_copy2,Y,Y,no,no,Y,Y,0,1743
Mediodactylus_kotschyi,Mediodactylus_kotschyi_copy1,Y,N,no,+6bp,Y,Y,0,1752
Naja_naja,Naja_naja_copy1,Y,Y,no,no,Y,Y,0,1755
Naja_naja,Naja_naja_copy2,Y,Y,no,no,Y,Y,25,1747
Notechis_scutatus,Notechis_scutatus_copy1,Y,Y,no,no,Y,Y,0,1752
Notechis_scutatus,Notechis_scutatus_copy2,Y,Y,no,no,Y,Y,0,1755
Pantherophis_obsoletus,Pantherophis_obsoletus_copy1,Y,Y,no,no,Y,Y,0,1752
Pantherophis_obsoletus,Pantherophis_obsoletus_copy2,Y,Y,no,no,Y,Y,0,1752
Pantherophis_obsoletus,Pantherophis_obsoletus_copy3,Y,Y,no,no,Y,Y,0,1752
Phrynosoma_blainvillii,Phrynosoma_blainvillii_copy1,Y,N,no,+6bp,Y,Y,0,1779
Pituophis_catenifer,Pituophis_catenifer_copy1,Y,Y,no,no,Y,Y,0,1752
Pituophis_catenifer,Pituophis_catenifer_copy2,Y,Y,no,no,Y,Y,0,1752
Pituophis_catenifer,Pituophis_catenifer_copy3,Y,Y,no,no,Y,Y,0,1752
Plestiodon_gilberti,Plestiodon_gilberti_copy1,Y,Y,no,no,Y,Y,0,1779
Podarcis_muralis,Podarcis_muralis_copy1,Y,Y,no,no,Y,Y,22,1771
Podarcis_raffonei,Podarcis_raffonei_copy1,Y,Y,no,no,Y,Y,0,1770
Pogona_vitticeps,Pogona_vitticeps_copy1,Y,Y,no,no,Y,Y,0,1731
Protobothrops_mucrosquamatus,Protobothrops_mucrosquamatus_copy1,Y,Y,no,no,Y,Y,0,1752
Protobothrops_mucrosquamatus,Protobothrops_mucrosquamatus_copy2,Y,Y,no,no,Y,Y,0,1752
Pseudonaja_textilis,Pseudonaja_textilis_copy1,Y,Y,no,no,Y,Y,0,1752
Pseudonaja_textilis,Pseudonaja_textilis_copy2,Y,Y,no,no,Y,Y,0,1755
Ptyas_mucosa,Ptyas_mucosa_copy1,Y,Y,no,no,Y,Y,0,1752
Ptyas_mucosa,Ptyas_mucosa_copy2,Y,Y,no,no,Y,Y,0,1752
Python_bivittatus,Python_bivittatus_copy1,N,Y,no,no,N,Y,0,1674
Rhineura_floridana,Rhineura_floridana_copy1,Y,N,no,+6bp,Y,Y,0,1755
Sceloporus_undulatus,Sceloporus_undulatus_copy1,Y,Y,no,no,Y,Y,0,1776
Teratoscincus_roborowskii,Teratoscincus_roborowskii_copy1,Y,Y,no,no,Y,Y,0,1803
Thamnophis_elegans,Thamnophis_elegans_copy1,Y,Y,no,no,Y,Y,0,1752
Thamnophis_elegans,Thamnophis_elegans_copy2,Y,Y,no,no,Y,Y,0,1752
Vipera_berus,Vipera_berus_copy1,Y,Y,no,no,Y,Y,0,1752
Vipera_berus,Vipera_berus_copy2,Y,Y,no,no,Y,Y,0,1752
Vipera_seoanei,Vipera_seoanei_copy1,Y,Y,no,no,Y,Y,0,1752
Vipera_seoanei,Vipera_seoanei_copy2,Y,Y,no,no,Y,Y,0,1752
Xantusia_vigilis,Xantusia_vigilis_copy1,Y,Y,no,no,Y,Y,0,1752
Zootoca_vivipara,Zootoca_vivipara_copy1,Y,Y,no,no,Y,Y,0,1770
