site	alpha	beta1	p1	beta+	p+	LRT	p-value	#_branches_under_selection	Total_branch_length	MEME_LogL	FEL_LogL	LRT_MEME_vs_FEL	FEL_alpha	FEL_beta
138	1.815	1.7454e-07	1	0.066238	0	0	0.66667	0	0	-11.533	-11.533	1	1.8098	1.8589e-07
139	0	0	1	0	0	0	1	0	0	0	0	1	0	0
140	2.0283	9.4312e-06	1	0.20241	0	0	0.66667	0	0	-9.4044	-9.4044	1	2.0247	9.6492e-06
141	6.7682	3.7281e-08	1	0.10302	0	0	0.66667	0	0	-7.3821	-7.3821	0.99997	6.8308	2.9245e-08
142	0	0	1	0	0	0	1	0	0	0	0	1	0	0
143	3.3082	0	0.92402	72.426	0.075983	2.3469	0.15107	2	0	-24.924	-26.506	0.20557	5.6539	2.3409
144	8.3388e-05	2.0847e-08	0.01	3.5515	0.99	1.5317	0.23524	3	0	-19.425	-19.423	1	8.3388e-05	3.5515
145	11.028	0.028895	0.61588	11.466	0.38412	0.00090737	0.65929	1	0	-31.198	-31.496	0.74166	10.885	4.5073
146	3.3253e-07	1.9933e-11	0.01012	10.68	0.98988	4.8644	0.040434	2	0	-30.143	-30.128	1	3.2469e-07	10.496
147	3.0686	2.7451e-07	1	0.24923	0	0	0.66667	0	0	-8.479	-8.479	1	3.0625	2.8078e-07
148	0	0	1	0	0	0	1	0	0	0	0	1	0	0
149	0.0020905	0.00087165	0.95152	45.62	0.048484	0.98597	0.32018	1	0	-11.295	-11.491	0.8224	0.0021756	1.0807
150	0	0	1	0	0	0	1	0	0	0	0	1	0	0
151	4.1293	1.7134e-05	1	0.11054	0	0	0.66667	0	0	-8.0552	-8.0552	1	4.1455	1.4569e-05
152	0	0	1	0	0	0	1	0	0	0	0	1	0	0
153	0	0	1	0	0	0	1	0	0	0	0	1	0	0
154	2.9683	2.923e-06	1	0.24529	0	0	0.66667	0	0	-9.3707	-9.3707	1	2.9625	2.9899e-06
155	0	0	1	0	0	0	1	0	0	0	0	1	0	0
156	3.3059	5.9122e-06	1	0.086104	0	0	0.66667	0	0	-8.9989	-8.9989	1	3.2945	6.2928e-06
157	1.6482e-05	4.1204e-09	0.01	5.3	0.99	3.9572	0.064699	2	0	-21.567	-21.559	1	1.6482e-05	5.3
158	14.774	3.4261e-05	1	0.86359	0	0	0.66667	0	0	-9.5838	-9.5838	1	14.761	3.5527e-05
159	9.8663e-05	4.3836e-05	0.91068	63.027	0.089324	8.5974	0.0059914	2	0	-18.311	-22.074	0.023207	0.00010731	5.2629
160	1.2787	0.00014591	1	0.13738	0	0	0.66667	0	0	-9.6443	-9.6444	0.9999	1.3067	0.00015576
161	0	0	1	0	0	0	1	0	0	0	0	1	0	0
162	0	0	1	0	0	0	1	0	0	0	0	1	0	0
163	3.9438	1.5204	0.65619	20.68	0.34381	1.074	0.30432	1	0	-33.371	-33.77	0.67151	4.2447	7.3809
164	15.968	2.8896e-07	1	0.93376	0	0	0.66667	0	0	-23.949	-23.949	1	15.877	3.0479e-07
165	0	0	1	0	0	0	1	0	0	0	0	1	0	0
166	3.0928e-06	7.7321e-10	0.01	1.3005	0.99	0.44115	0.44606	1	0	-9.9723	-9.9721	1	3.0928e-06	1.3005
167	9.3168	7.0577	0.85803	8.8672	0.14197	0	0.66667	0	0	-33.671	-33.664	1	8.4981	7.3876
168	3.1203	0.00026211	0.010168	3.5723	0.98983	0.011162	0.63938	2	0	-23.783	-23.782	1	3.168	3.5245
169	0.00024334	6.0836e-08	0.01	1.1903	0.99	0.3844	0.46313	1	0	-8.6132	-8.612	1	0.00024334	1.1903
170	3.3668e-05	2.0182e-09	0.01012	8.2958	0.98988	3.3838	0.08728	2	0	-29.734	-29.721	1	3.287e-05	8.1657
171	6.7364	1.0765e-05	1	0.13143	0	0	0.66667	0	0	-7.4455	-7.4455	1	6.7679	9.1598e-06
172	3.2534	2.262e-06	1	0.25622	0	0	0.66667	0	0	-8.5368	-8.5369	0.99999	3.2468	2.3137e-06
173	3.2593	2.0718	0.79745	3.2689	0.20255	-0.0015076	0.66667	0	0	-23.209	-23.21	0.99896	3.3015	2.2167
174	2.3824e-06	1.216e-06	0.49153	2.8582	0.50847	0.74303	0.36949	1	0	-10.84	-10.841	0.99924	2.2859e-06	1.3959
175	10000	5.4537e-08	0.68672	2.512e-05	0.31328	0	0.66667	0	0	-16.224	-16.224	1	10000	5.5922e-08
176	1.8129	1.8168e-07	1	0.1906	0	0	0.66667	0	0	-11.857	-11.857	1	1.8098	1.8589e-07
177	2.4456	0.00039009	0.66326	3.4578	0.33674	-0.081399	0.66667	1	0	-15.824	-15.755	1	2.259	1.1435
178	16.463	7.1423e-05	1	0.4646	0	0	0.66667	0	0	-12.992	-12.992	1	16.44	6.1693e-05
179	8.502	0	0.77703	5.0102	0.22297	0	0.66667	0	0	-18.489	-18.498	0.99094	8.5755	0.98503
180	8.8311	6.9726e-06	1	0.34266	0	0	0.66667	0	0	-11.872	-11.872	1	8.8133	7.2704e-06
181	3.6528	2.5914e-06	1	0.26725	0	0	0.66667	0	0	-12.915	-12.915	1	3.656	2.7206e-06
182	3.2641	1.4087e-05	1	0.085664	0	0	0.66667	0	0	-9.1674	-9.1674	1	3.2528	1.4994e-05
183	0	0	1	0	0	0	1	0	0	0	0	1	0	0
184	0	0	1	0	0	0	1	0	0	0	0	1	0	0
185	0	0	1	0	0	0	1	0	0	0	0	1	0	0
186	10.279	0	0.96837	152.92	0.031632	0.99807	0.31794	1	0	-22.287	-22.95	0.5153	10.204	1.1423
187	1.8959	0.46427	0.90502	34.506	0.094976	0.44384	0.44528	0	0	-24.96	-25.157	0.82077	1.7814	2.3435
188	6.9166e-07	2.8347e-07	0.93172	100.79	0.068276	2.9566	0.10927	2	0	-16.098	-16.981	0.41332	3.8747e-06	2.2058
189	0	0	1	0	0	0	1	0	0	0	0	1	0	0
190	3.8855	2.7984	0.90865	4.1686	0.091347	8.9088e-05	0.66439	0	0	-20.169	-20.169	1	3.9192	2.8998
191	0	0	1	0	0	0	1	0	0	0	0	1	0	0
192	0	0	1	0	0	0	1	0	0	0	0	1	0	0
193	0	0	1	0	0	0	1	0	0	0	0	1	0	0
194	0	0	1	0	0	0	1	0	0	0	0	1	0	0
195	14.972	1.6566e-06	1	0.45212	0	0	0.66667	0	0	-10.005	-10.005	1	14.951	1.431e-06
196	1.4012	0.67231	0.84185	132.27	0.15815	14.233	0.00034605	3	0	-39.395	-44.367	0.0069355	1.5434	13.873
197	0.00071724	0	0.97776	2035	0.022243	8.8269	0.005332	1	0	-13.086	-17.226	0.015937	3.3526	1.1218
198	0.00010963	5.8506e-05	0.72624	40.099	0.27376	5.8126	0.024822	0	0	-32.372	-32.916	0.58031	0.00010471	6.7673
199	0	0	1	0	0	0	1	0	0	0	0	1	0	0
200	3.7342e-06	1.9918e-06	0.48652	9.7337	0.51348	1.4634	0.24432	1	0	-22.736	-22.806	0.93309	3.7023e-06	4.3484
201	0	0	1	0	0	0	1	0	0	0	0	1	0	0
202	6.0231	3.1388	0.83239	3.0998	0.16761	0	0.66667	0	0	-21.829	-21.829	1	5.9899	3.1161
203	0	0	1	0	0	0	1	0	0	0	0	1	0	0
204	0	0	1	0	0	0	1	0	0	0	0	1	0	0
205	3.1199	1.0002e-06	1	0.2512	0	0	0.66667	0	0	-9.237	-9.237	1	3.1136	1.023e-06
206	0	0	1	0	0	0	1	0	0	0	0	1	0	0
207	0	0	1	0	0	0	1	0	0	0	0	1	0	0
208	5.2304	0.00043471	0.010166	9.1859	0.98983	0.48627	0.43321	2	0	-43.679	-43.683	0.99669	5.2695	9.0929
209	0.00010103	2.5257e-08	0.01	1.2419	0.99	0.39468	0.45995	1	0	-9.3331	-9.3323	1	0.00010103	1.2419
210	8.2448e-08	4.0533e-08	0.87243	28.392	0.12757	1.686	0.21606	2	0	-16.767	-16.975	0.81262	9.4181e-08	2.2426
211	0.0001356	6.7224e-05	0.90216	336.89	0.097839	11.933	0.0011052	4	0	-29.305	-34.097	0.0082912	0.00019465	7.4997
212	0	0	1	0	0	0	1	0	0	0	0	1	0	0
213	7.9778	3.2014e-05	1	0.37159	0	0	0.66667	0	0	-13.321	-13.321	0.99998	7.9557	3.272e-05
214	3.2086	2.1379e-06	1	0.34476	0	0	0.66667	0	0	-9.0767	-9.0767	0.99997	3.1852	2.2272e-06
215	12.453	8.8263e-07	1	0.42621	0	0	0.66667	0	0	-9.1289	-9.1289	0.99999	12.469	9.2706e-07
216	5.1331e-06	1.2833e-09	0.01	0.97354	0.99	0.52132	0.42362	1	0	-9.729	-9.7287	1	5.1331e-06	0.97354
217	0	0	1	0	0	0	1	0	0	0	0	1	0	0
218	2.8237	0.00021841	0.010155	16.578	0.98985	3.3423	0.089198	2	0	-44.3	-44.296	1	2.7881	16.375
219	9.5728e-05	2.5893e-05	0.63775	22.278	0.36225	4.8489	0.040758	3	0	-19.627	-20.036	0.66441	7.7985e-05	8.2984
220	3.1079	2.13	0.92841	3.541	0.07159	-0.0039155	0.66667	0	0	-20.511	-20.508	1	3.1073	2.1834
221	4.2517e-05	1.8414e-05	0.8738	48.088	0.1262	2.2498	0.15914	3	0	-22.1	-23.018	0.39913	4.6211e-05	2.6385
222	5.7902	2.3656	0.91328	2.0508	0.086725	0	0.66667	0	0	-15.716	-15.716	1	5.7354	2.3492
223	4.0097e-05	2.4036e-09	0.01012	4.9706	0.98988	1.5027	0.23904	3	0	-20.309	-20.301	1	3.9147e-05	4.9055
224	8.0783e-05	2.0196e-08	0.01	1.9954	0.99	0.47967	0.43505	1	0	-14.585	-14.585	1	8.0783e-05	1.9954
225	1.6558e-06	9.9254e-11	0.01012	3.5378	0.98988	1.967	0.18536	3	0	-20.272	-20.27	1	1.6167e-06	3.4965
226	0.00013957	7.7858e-05	0.70374	21.859	0.29626	1.9914	0.18293	0	0	-25.294	-25.604	0.73338	0.00012852	4.8265
227	4.8934e-07	2.9333e-11	0.01012	7.4796	0.98988	3.6296	0.076747	2	0	-29.48	-29.479	1	4.778e-07	7.3666
228	0	0	1	0	0	0	1	0	0	0	0	1	0	0
229	6.4958	3.9102	0.89261	12.644	0.10739	0.0014402	0.65732	0	0	-28.194	-28.194	1	6.5233	4.6663
230	2.7748	0.00069369	0.01	5.5404	0.99	0.41954	0.45243	1	0	-32.3	-32.294	1	2.7748	5.5404
231	2.9311	0.00020609	0.70984	5.1645	0.29016	0.053452	0.60215	1	0	-16.329	-16.394	0.93632	3.0861	1.2575
232	33.128	1.1842	0.95235	1.0243	0.047651	0	0.66667	0	0	-18.131	-18.131	1	33.456	1.1859
233	9.2419e-07	4.5911e-07	0.83808	40.211	0.16192	4.9318	0.039051	3	0	-20.572	-22.196	0.19711	9.2211e-07	4.9314
234	2.5941	0.00064852	0.01	3.8224	0.99	0.12002	0.56401	1	0	-24.91	-24.909	1	2.5941	3.8224
235	2.9622e-06	1.7756e-10	0.01012	3.8704	0.98988	2.1054	0.17199	0	0	-20.235	-20.229	1	2.8923e-06	3.8238
236	9.7994	5.6633	0.83758	5.8291	0.16242	0	0.66667	0	0	-32.259	-32.258	1	9.4778	5.6771
237	0	0	1	0	0	0	1	0	0	0	0	1	0	0
238	9.3316e-05	4.73e-05	0.50688	10.421	0.49312	3.1794	0.097167	3	0	-20.329	-20.504	0.8394	9.0776e-05	5.4404
239	2.003e-05	5.0074e-09	0.01	1.1399	0.99	0.35916	0.47109	1	0	-8.6968	-8.6959	1	2.003e-05	1.1399
240	0.00018883	9.098e-05	0.94054	46.824	0.059461	5.7889	0.025126	1	0	-12.809	-14.836	0.13181	0.00025297	3.1203
241	7.2835	0	0.88352	36.771	0.11648	0.37731	0.46534	2	0	-23.602	-24.069	0.62704	12.709	2.4868
242	27.992	3.7013e-06	1	1.1195	0	0	0.66667	0	0	-23.003	-23.004	0.99995	28.061	3.9333e-06
243	0.0017674	8.2846e-08	0.010094	1.1332	0.98991	0.59602	0.4042	1	0	-9.4842	-9.4831	1	0.0017333	1.0769
244	3.5847	0	0.95017	47.857	0.049833	2.8779	0.11391	1	0	-17.929	-20.314	0.092134	3.5716	2.6345
245	6.4955	0.00052497	0.010162	9.7937	0.98984	0.33258	0.47974	1	0	-45.54	-45.535	1	6.5023	9.6612
246	0.015924	3.9811e-06	0.01	10.478	0.99	2.6925	0.12566	2	0	-32.285	-32.281	1	0.015924	10.478
247	9.2986e-05	5.5739e-09	0.01012	5.5152	0.98988	2.6236	0.13034	2	0	-22.361	-22.361	1	9.0776e-05	5.4404
248	2.4124e-06	1.1299e-06	0.66647	31.398	0.33353	6.583	0.016728	1	0	-23.526	-24.22	0.49964	3.4348e-06	10.67
